latitude,longitude,#beds,#baths,#square_feet,elevator,doorman,unit#,stories#,complex,#beds_mv,#baths_mv,#square_feet_mv,stories#_mv,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019),price
40.7549,-73.9642,2,2,1350,1,0,287,19,0,0,0,0,0,0,1,0,1395000
40.7632,-73.9621,2,1,1292.89797687861,1,0,166,16,0,1,0,1,0,0,1,0,290000
40.806,-73.9598,3,1.5,1100,1,0,25,6,0,0,0,0,0,0,1,0,1395000
40.77,-73.9537,2,2,1476,1,0,180,31,0,0,0,0,0,0,1,0,1999000
40.7816,-73.9591,2,2,1292.89797687861,1,0,25,9,0,0,0,1,0,0,1,0,1895000
40.7786,-73.985,2,1,1292.89797687861,1,0,89,17,0,1,0,1,0,0,1,0,275000
40.8544,-73.9354,3,2,1374,1,0,56,7,0,0,0,0,0,0,0,1,979000
40.7757,-73.9458,1,1,1292.89797687861,1,0,138,21,0,0,0,1,0,0,1,0,850000
40.7998,-73.9615,2,1,500,0,0,19,5,0,0,0,0,0,0,1,0,645000
40.7816,-73.9762,4,3.5,4050,0,1,21,8,0,0,0,0,0,1,0,0,10995000
40.7778,-73.9791,2,2,1292.89797687861,1,0,34,12,0,0,0,1,0,0,1,0,2000000
40.85747,-73.936,1,1,1292.89797687861,1,0,84,5,0,0,0,1,0,0,1,0,415000
40.7659,-73.9529,2,3,1292.89797687861,1,0,242,18,0,0,0,1,0,0,1,0,1285000
40.761,-73.9915,1,1,700,0,0,15,5,0,0,0,0,0,0,1,0,725000
40.7341,-74.0051,1,1,1292.89797687861,0,0,20,5,0,0,0,1,0,0,1,0,1050000
40.80145,-73.9434,1,1,1292.89797687861,1,0,92,9,0,0,0,1,0,0,0,1,395000
40.7194,-74.008,2,1,1600,1,0,8,7,0,0,0,0,0,0,1,0,2200000
40.8589,-73.9323,1,1,1292.89797687861,0,0,0,5,0,0,0,1,1,0,0,0,349000
40.7676,-73.9567,2,2,1292.89797687861,1,0,460,34,0,0,0,1,0,0,1,0,1795000
40.7402,-73.9883,2,2,1328,1,0,53,60,0,0,0,0,0,0,0,1,4495000
40.7921,-73.973,2,1.5,1250,1,0,146,15,0,0,0,0,0,0,1,0,1375000
40.8017,-73.9652,2,2,1292.89797687861,1,0,111,17,0,0,0,1,0,0,1,0,1149000
40.7837,-73.9571,2,2,1292.89797687861,1,0,50,14,0,0,0,1,0,0,1,0,1850000
40.7735,-73.9523,2,2,1149,1,0,328,31,0,0,0,0,0,0,1,0,1495000
40.7658,-73.9695,1,1,714,1,0,68,13,0,0,0,0,0,0,1,0,1215000
40.7094,-74.016,2,2,1002,1,0,285,23,0,0,0,0,0,0,1,0,1850000
40.7129,-73.979,2,1,1095,1,1,836,20,0,0,0,0,0,0,1,0,799000
40.7373,-73.993,2,2,1095,1,0,50,21,0,0,0,0,0,0,1,0,2250000
40.76311,-73.9777,1,1,1292.89797687861,1,0,183,20,0,0,0,1,0,0,1,0,975000
40.76311,-73.9777,2,1,400,1,0,183,20,0,1,0,0,0,0,1,0,600000
40.7577,-73.9661,2,2.5,1535,1,0,152,31,0,0,0,0,0,0,0,1,2575000
40.7549,-73.9642,1,1,1292.89797687861,1,0,287,19,0,0,0,1,0,0,1,0,795000
40.7831,-73.9775,3,2.5,1292.89797687861,1,0,62,15,0,0,0,1,0,0,1,0,2250000
